dataid,a1,a2,a3,a4,a5,a6,evening_energy,evening_gt,evening_mins,evening_pred,hvac_class,morning_energy,morning_gt,morning_mins,morning_pred,overall_energy,overall_mins,rating,sleep_energy,sleep_gt,sleep_mins,sleep_pred,work_energy,work_gt,work_mins,work_pred
26,0.032230761083921707,-0.0087513206411597155,0.053312663879747944,0.022959905439094003,0.32367338010025676,0.0051139425308298651,1955352.0,78.0,824,67.579104149851062,Average,863772.0,78.0,364,62.15581821609527,10087623.0,4251,2.5714285714285712,6110475.0,76.0,2575,60.000000000455216,1174635.0,82.0,495,85.34195051175891
94,0.016518269286054085,0.0067932842412981023,0.0066003486110900516,0.010139713310856566,0.20914281197333554,-0.0084102163842330168,848456.0,77.0,872,63.674841720130594,Bad,1058624.0,77.0,1088,60.022283158503129,6654347.0,6839,1,4185846.0,78.0,4302,60.000000765439736,573097.0,85.0,589,77.192888174658663
370,0.071649980184077033,0.030067575194595877,0.035703278293521323,0.041259659906002569,0.47704809042631852,-0.0084340770021423487,9063650.0,75.0,4207,68.929743368802946,Bad,7236212.0,75.0,3357,60.000002474970827,45553180.0,21146,0,18408540.0,75.0,8550,60.000001696618178,10883540.0,75.0,5050,68.258515761391749
410,0.055819959695108515,0.034525255924007126,0.019175315255526505,0.039923916152042299,0.59622105659063829,-0.02070223935885266,4690579.0,80.0,1823,67.791181684096017,Average,6664070.0,80.0,2590,60,26846682.0,10434,2.8571428571428572,13230366.0,76.0,5142,60.000005815418731,2300262.0,84.0,894,69.291352855610853
545,0.049227863569200704,0.043563238200923705,0.032174390358194319,0.06401770871060454,0.67972089142753367,-0.0088753655381362869,16108388.0,76.0,6578,65.63614174955184,Bad,9296340.0,76.0,3793,60.000002232813941,56741086.0,23161,0,20000076.0,72.0,8166,60.000000318525046,11363250.0,76.0,4635,66.055770907014406
624,0.022750424205437943,0.01958255899530852,0.021896675094386038,0.028809963629985048,0.39035534527642851,-0.0022475490334419243,5271232.0,80.0,3581,71.194400739734363,Good,3534272.0,85.0,2401,64.572601165904658,22854272.0,15526,3,9282432.0,78.0,6306,60.000000116880628,4781056.0,85.0,3248,75.463345998292269
871,0.037989687416198584,0.016200998416972836,0.014008440099834664,0.035668967089191192,0.28267769063422532,0.0072400090133673285,4584298.0,78.0,2458,67.498614051965276,Average,2993438.0,78.0,1589,60.000000013335288,20108813.0,10763,2.5714285714285712,10422048.0,78.0,5628,60.000005965902929,2127618.0,82.0,1098,76.061412037266791
1283,0.061485526002168098,0.020789757456554377,0.026245569684565491,0.057692813428343405,0.53722044529401025,0.0014512931856198259,8893824.0,78.0,3392,67.283634326325114,Average,4685514.0,78.0,1787,60.000000008366335,34101732.0,13006,2.0,19602072.0,78.0,7476,60.000000208172814,954408.0,78.0,364,68.055661703829173
1334,0.038752717187187299,0.092911912789296447,0.030458422816309897,0.032827105820973167,0.33543382021551704,-0.016934992633069582,690508.0,90.0,364,65.991348497815039,Good,749315.0,90.0,395,60.000005616428666,3818661.0,2013,4,1832502.0,90.0,966,60.000000235560179,555821.0,90.0,293,72.761370519297316
1642,0.050039239396307438,0.043843572364506908,0.033519455358888305,0.045798566673886779,0.47119619993375073,-0.0015037476862745935,9924761.0,72.0,4697,66.125286227067321,Bad,8574554.0,75.0,4058,60.000000041564753,43305935.0,20495,0.5714285714285714,16301795.0,71.0,7715,60.000001053167985,8540746.0,82.0,4042,67.330864223325392
