dataid,a1,a2,a3,a4,a5,a6,evening_energy,evening_gt,evening_mins,evening_pred,hvac_class,morning_energy,morning_gt,morning_mins,morning_pred,overall_energy,overall_mins,rating,sleep_energy,sleep_gt,sleep_mins,sleep_pred,work_energy,work_gt,work_mins,work_pred
26,0.054806372980900027,-0.0026757298722521494,0.01969086801477141,0.033258833918786208,0.26066054448273601,0.016927664370891375,6255750.0,78.0,2634,61.224730315028957,Average,1187500.0,78.0,500,63.369257009318474,22545875.0,9493,2.5714285714285712,13649125.0,76.0,5747,60.000000034601946,1479625.0,82.0,623,64.525380252734266
94,0.0097621084565217529,0.003451598466986199,0.0032826043374014008,0.0075119830151840873,0.1216879552714244,-0.0033288752190087432,605682.0,77.0,627,64.888241742973733,Bad,663642.0,77.0,687,60.000001654895726,4677372.0,4842,1,2743440.0,78.0,2840,60,667506.0,85.0,691,71.459191757079537
370,0.037472276661001613,0.022037878511737972,0.013698301156821566,0.036386149773123266,0.38804462344488566,-0.01025773679070976,3619296.0,75.0,1704,74.880830587022601,Bad,5074236.0,75.0,2389,62.419648252201696,24018192.0,11308,0,9243648.0,75.0,4352,60.000000042054303,6104376.0,75.0,2874,60.040828961087932
410,0.059775926814864544,0.036607623221906894,0.024358022247388988,0.040675284132513007,0.65165136331513407,-0.026102972862818988,4940964.0,80.0,1764,66.301054404871607,Average,7094933.0,80.0,2533,60.000000018566453,28038010.0,10010,2.8571428571428572,13654875.0,76.0,4875,60.000009632810631,2389253.0,84.0,853,68.313094403637507
545,0.02742886311502625,0.034926419263361694,0.020138888392016635,0.037230194505785463,0.5949355949879781,-0.011673237645736644,7835490.0,76.0,3330,69.34118377447561,Bad,7379008.0,76.0,3136,60.000002508541684,32984354.0,14018,0,11021452.0,72.0,4684,60.000000000140723,6769581.0,76.0,2877,69.100827035231191
624,0.019474656714769965,0.016263115545515877,0.018944245603220347,0.024399399360482906,0.36466467991399559,-0.0037054533575164575,4075326.0,80.0,2778,71.498466154997089,Good,2953071.0,85.0,2013,62.328953921606669,18016227.0,12281,3,7483167.0,78.0,5101,60.000002824135237,3519333.0,85.0,2399,77.179921497685584
871,0.011351171208706462,0.0023324571064559652,0.0039590682779171611,0.0095217775555462587,0.070311771267651632,-0.00024736857202844423,645840.0,78.0,621,63.661516201735623,Average,225680.0,78.0,217,60.000077255576272,2510560.0,2414,2.5714285714285712,1204320.0,78.0,1158,63.054431277158528,437840.0,82.0,421,60.000000000000817
1283,0.063143831727141123,0.011679771459916579,0.019902695005648421,0.059379272334378216,0.54147174321009628,0.0023669575475053226,9180792.0,78.0,3384,67.166026155733462,Average,4275688.0,78.0,1576,60,34240773.0,12621,2.0,19983958.0,78.0,7366,60.000000030037967,835604.0,78.0,308,60.344023038513917
1334,0.036504406584132003,-0.071777556966765271,0.071137594545296903,0.039788206881229929,0.3028615290622752,-0.028705581556707299,588070.0,90.0,310,64.6125604899716,Good,240919.0,90.0,127,81.238737686940368,2086700.0,1100,4,889693.0,90.0,469,60.00003057954018,371812.0,90.0,196,83.137486541626885
1642,0.048460015129543656,0.043711050686444944,0.033680332280526998,0.045206456606314276,0.52085552572931115,-0.0060238976262330214,8534430.0,72.0,3897,66.647985706576947,Bad,7678140.0,75.0,3506,60.000018541440909,36853320.0,16828,0.5714285714285714,15616890.0,71.0,7131,60.000000783604712,5054520.0,82.0,2308,68.662172861136625
1953,0.047706822207610626,0.014199397802089061,0.038740606092186151,0.045969084600582397,0.44166189101958997,0.010986429175151941,7185390.0,78.0,3281,70.973751353398526,Average,6018120.0,78.0,2748,60.000006090752422,35585310.0,16249,2.5714285714285712,17311950.0,78.0,7905,60.000003436694939,5104890.0,82.0,2331,75.701109261965783
2129,0.057478887390337019,0.011152239324543973,0.022727984191498685,0.049814439566126627,0.94862812692404341,-0.0084251467405026884,11475833.0,75.0,4709,70.562803258614082,Bad,8400339.0,75.0,3447,66.545487800500425,51934907.0,21311,0,24932947.0,75.0,10231,60.000000437830501,7174528.0,75.0,2944,69.323311537102995
2156,0.024886154635365702,0.004929576875963783,0.015600219006398346,0.023783049546646243,0.12962324197569533,0.009110965771385442,4731649.0,77.0,1469,69.246968872490442,Bad,657084.0,77.0,204,60.001386683113068,13940488.0,4328,0,6213309.0,76.0,1929,60.000000002682725,2348109.0,77.0,729,68.762409677766414
2242,0.039569433120550779,0.019536362011379212,0.019375223679997684,0.032258336659592469,0.47612751620125021,0.0028116553882889935,8555272.0,73.0,5599,66.476755984029566,Bad,3978912.0,73.0,2604,69.96373387056471,39492688.0,25846,0,16610888.0,73.0,10871,60.000000062544338,10381232.0,76.0,6794,60.000003201778391
2378,0.065429859829961162,0.035171197427675001,0.04331716696985155,0.057309833320808495,0.48305572373810712,0.0091220343327761948,10053560.0,78.0,4015,69.363260491974671,Average,6192392.0,78.0,2473,60.000000000112934,38524040.0,15385,2.0,17996248.0,76.0,7187,60.000000711026146,4304376.0,78.0,1719,78.015662496086151
2470,0.039807231759159692,0.018971753386042848,0.012663554643669023,0.022794416937477541,0.34533878570574761,-0.0075766438363799923,1168036.0,76.0,772,69.972855231338556,Bad,3877819.0,80.0,2563,61.757326968692183,15556666.0,10282,1.2857142857142856,8608970.0,72.0,5690,60.000000571137825,1930588.0,80.0,1276,69.564906109141333
2557,0.048418129336369027,0.075330281397513174,0.035913063345663715,0.041026161314583746,0.39123414687435248,0.011602770719074319,4002625.0,78.0,1375,66.398147668825118,Average,3545598.0,78.0,1218,67.422337130380129,19381438.0,6658,2.0,8427345.0,78.0,2895,60.000028942745452,3423336.0,78.0,1176,77.13045386419202
2814,0.053322031530432211,0.0125816287377728,0.034042060478216181,0.045437163378266511,0.43392917385085616,0.021752923923895381,13403530.0,77.0,5246,66.099411377656537,Bad,5968480.0,77.0,2336,60.000095622763418,46513775.0,18205,0,18789470.0,77.0,7354,60.000000326199761,8382955.0,77.0,3281,76.390300442530062
2829,0.024396558607650283,0.012223252058234619,0.020557587017893914,0.028886009580549234,0.058400008911931332,0.0054275006343587964,4111120.0,77.0,1742,69.794880946501138,Bad,457840.0,78.0,194,65.164761155088883,12741640.0,5399,1.8571428571428572,6327160.0,78.0,2681,60.000000124154369,1850240.0,84.0,784,74.323997048681875
2953,0.010005168065944888,0.0080458168193615776,0.0067914365097528281,0.0090563218033613713,0.095822033767474224,-0.0010261109387272964,1752300.0,79.0,1062,68.784104384304527,Good,282150.0,79.0,171,61.61535065106716,6131400.0,3716,3.1428571428571428,1890900.0,82.0,1146,60.000001121400871,2206050.0,79.0,1337,60.000106692287844
2995,0.055203601942132891,0.027621236418427751,0.016620679834252576,0.043756631377698252,0.61824690662368031,0.01461984796787771,10530576.0,80.0,4718,68.049666083985301,Bad,9376632.0,75.0,4201,60,52041312.0,23316,1.2857142857142856,22572216.0,73.0,10113,60.000000029221084,9595368.0,80.0,4299,60.001016607718611
3367,0.025228104538755985,0.02906555979469214,0.026250172266795921,0.041502478619751884,0.52008357279270412,0.0019846268500090546,4429752.0,78.0,1516,74.181017035334634,Average,4929414.0,78.0,1687,60.000001375068052,21234174.0,7267,2.2857142857142856,8427048.0,76.0,2884,60.000000000003105,3459648.0,80.0,1184,75.151005962461326
3456,0.013959828752855065,0.018242581008724734,0.010576401747771623,0.015933104950450142,0.26574534949892242,-0.0091793153731971368,3283369.0,75.0,1753,68.171603781346121,Bad,998309.0,75.0,533,72.422071978991895,12661480.0,6760,0,4195520.0,80.0,2240,60.000001878216267,4188028.0,75.0,2236,60.000282291956275
3649,0.087593043304660709,0.032822883140344601,0.044740196658456313,0.07422401758353589,0.74908430239773627,0.015731087823842478,22215984.0,80.0,7148,63.881893193901846,Average,7947156.0,80.0,2557,60.000000000000028,68895036.0,22167,2.7142857142857144,33010068.0,77.0,10621,60.00000000593112,5774664.0,83.0,1858,66.395179610308617
3652,0.11134587127246968,0.0813516590654947,0.050367040329128053,0.072338544349347181,0.89589365435813095,-0.010262677778693005,7425204,73.0,2066,68.685049628360858,Bad,12852144,73.0,3576,60.000000013382284,51304350,14275,0,26038530,70.0,7245,60.000005760389733,5053164,75.0,1406,73.997880429586843
3723,0.023879336094553387,0.030375219940126281,0.016251804278732438,0.026937753428133721,0.40430221851920994,-0.0085179345444256257,3475584.0,73.0,2586,67.709527038492709,Bad,6890688.0,73.0,5127,60.000003186473108,22300992.0,16593,0.5714285714285714,8652672.0,73.0,6438,60.000000000001492,3298176.0,82.0,2454,75.125624070834704
3736,0.047071074805584597,0.01594763430596358,0.022367787241534508,0.047043239550220391,0.21502596331947593,-0.0094249098287347514,9362370.0,77.0,3594,66.141625185122138,Bad,2370550.0,77.0,910,60.000000069149309,27456700.0,10540,0,10362690.0,75.0,3978,60,5376720.0,77.0,2064,60.001008567741223
3967,0.025764086229123625,0.017498020435231777,0.016633510328350344,0.018080064812411704,0.5299568735695821,0.0033505368254065854,4455912.0,78.0,1852,60,Average,4985232.0,78.0,2072,60.000000009325376,24406464.0,10144,2.0,8192430.0,77.0,3405,60.000000009454489,6792138.0,78.0,2823,64.99133649784045
