dataid,a1,a2,a3,a4,a5,a6,evening_energy,evening_gt,evening_mins,evening_pred,hvac_class,morning_energy,morning_gt,morning_mins,morning_pred,overall_energy,overall_mins,rating,sleep_energy,sleep_gt,sleep_mins,sleep_pred,work_energy,work_gt,work_mins,work_pred
26,0.042433106479337325,0.003776268056822353,0.0092423433753577658,0.019811847807803526,0.21163969815852435,0.022388739482721756,5743990.0,78.0,4967,60,Average,3147424.0,78.0,3920,60,24174968.0,23052,2.5714285714285712,10880970.0,76.0,8561,60.000000029853666,4429040.0,82.0,5620,60.005275637010975
94,0.01450336512608463,0.0075998121948099798,0.0058664480595961663,0.0085943296309084517,0.2294136711543579,-0.0099623049586518211,909872.0,77.0,427,61.324171162196663,Bad,1640566.0,77.0,476,60.000000141236875,7329448.0,3371,1,3529360.0,78.0,2025,62.145541750445346,1255824.0,85.0,444,69.719792421366407
370,0.062392216695228583,0.023942518581032749,0.025323837657111679,0.039228975287380952,0.20739506580714379,-0.002379170051573727,7999380.0,75.0,5493,66.259222828646145,Bad,4809303.0,75.0,4247,61.812403369878858,35021043.0,26357,0,14562198.0,75.0,9858,60.000000059755571,7673751.0,75.0,6778,64.054076613841417
410,0.058837899179861874,0.037833971443021717,0.016707622530406096,0.041923351501935269,0.67781724642931562,-0.016917369652384794,5532009.0,80.0,2203,67.022704164195119,Average,7721841.0,80.0,2891,60.000000000001684,32166300.0,13148,2.8571428571428572,15773532.0,76.0,6364,60.000001732510405,3185412.0,84.0,1708,70.57960112359379
545,0.052184478436495513,0.046826236897721363,0.033389350955485161,0.068314754690036769,0.7163804716364025,-0.011540432040914973,17066853.0,76.0,7092,65.542811640610964,Bad,9687999.0,76.0,4146,60.000001702996201,59808107.0,26182,0,21111887.0,72.0,9040,60.000000064686894,11971185.0,76.0,5917,66.082474782006543
624,0.016780772631361868,0.02692758633746559,0.022838149062133849,0.029655550065435628,0.59701241518853254,-0.0062865617448463465,3953656.0,80.0,2358,74.029481241843271,Good,3315424.0,85.0,2144,71.722262065570973,18527728.0,11600,3,7441300.0,78.0,4478,60.000005239649553,3831828.0,85.0,2629,81.170679953005333
871,0.039195092480277548,0.013571046611237297,0.014351123098112773,0.037737325672071158,0.3715661541939953,0.0032398873719876307,5098606.0,78.0,2626,67.98044644351657,Average,3372666.0,78.0,1689,60,23417646.0,12048,2.5714285714285712,11499448.0,78.0,6061,60.000000625814302,3468186.0,82.0,1683,66.300578117930726
1283,0.041715859661731698,0.0091453418043150915,0.013642193573572636,0.036128342544252345,0.54650343280650659,0.005012453277905146,7095803.0,78.0,5129,64.818472083573283,Average,5085739.0,78.0,3627,60.000280768237971,30998788.0,22066,2.0,14855419.0,78.0,8667,60.000000387308994,3993802.0,78.0,4658,68.958964405255273
1334,0.029237920525204512,0.043968686479109599,0.044751344695413628,0.029936274404085327,0.41313558252955795,-0.026149334739935057,1159311.0,90.0,1359,61.524961927274923,Good,1018981.0,90.0,1065,63.321533931351816,5932440.0,7174,4,2887657.0,90.0,3655,60.000005910791636,877522.0,90.0,1108,81.928682367236476
1642,0.049020325588451763,0.04380590066340475,0.031091487344151608,0.045748509206187303,0.56994024268478671,-0.001700875422847449,9433192.0,72.0,4821,67.50107712659613,Bad,8564011.0,75.0,4136,60.000012270908222,41432691.0,21186,0.5714285714285714,16757443.0,71.0,7864,60,6713216.0,82.0,4382,69.54348519519796
