dataid,a1,a2,a3,a4,a5,a6,evening_energy,evening_gt,evening_mins,evening_pred,hvac_class,morning_energy,morning_gt,morning_mins,morning_pred,overall_energy,overall_mins,rating,sleep_energy,sleep_gt,sleep_mins,sleep_pred,work_energy,work_gt,work_mins,work_pred
26,0.032230761083921707,-0.0087513206411597155,0.053312663879747944,0.022959905439094003,0.32367338010025676,0.0051139425308298651,1955352.0,78.0,824,67.579104149851062,Average,863772.0,78.0,364,62.15581821609527,10087623.0,4251,2.5714285714285712,6110475.0,76.0,2575,60.000000000455216,1174635.0,82.0,495,85.34195051175891
94,0.013839579135056082,0.0082589764662676628,0.0062828973836478079,0.010887390156770376,0.16511204040116989,-0.0092661242574381374,674289.0,77.0,693,70.263703649046306,Bad,923377.0,77.0,949,60.000000002966118,5529559.0,5683,1,3249820.0,78.0,3340,60.000000035047648,685965.0,85.0,705,71.909564563153893
370,0.057774779579066633,0.016569199706338505,0.043068094323025642,0.035633817612057965,0.28978475666202802,-0.00074184807208885737,8051000.0,75.0,3736,66.707643472696446,Bad,3510262.0,75.0,1624,60,32128580.0,14902,0,13697890.0,75.0,6359,60.000000639905622,6899590.0,75.0,3197,77.210302389417905
410,0.042036555703321148,0.031172143687848246,0.017623504312782978,0.028795000961035495,0.68874229627574857,-0.028564463619438034,4052475.0,80.0,1575,64.010519639087107,Average,6550858.0,80.0,2546,60.000000000000682,23342256.0,9072,2.8571428571428572,10564738.0,76.0,4106,60.000000305803226,2212780.0,84.0,860,67.575689058443629
545,0.020749966688481176,0.032776115435041844,0.014461027197913109,0.020750157201028126,0.75960488642928425,-0.017168632646885597,4418954.0,76.0,1799,68.183746772448956,Bad,7488746.0,76.0,3054,60.000000018914946,27234988.0,11098,0,7757846.0,72.0,3161,60.000000012587499,7589072.0,76.0,3092,65.126103581230709
624,0.022755894973879458,0.019589804502209443,0.021972631640455643,0.028803133648686037,0.39022699343823153,-0.0022694911098871352,5259456.0,80.0,3573,71.18361006034489,Good,3531328.0,85.0,2399,64.566213117397382,22813056.0,15498,3,9272128.0,78.0,6299,60.000000228386583,4764864.0,85.0,3237,75.558932687127097
871,0.03768894070362476,0.016696602767038292,0.013574815070130962,0.035298801460190009,0.27222397966528078,0.0078502531117964538,4533030.0,78.0,2430,67.205840620340936,Average,2969635.0,78.0,1576,60.000000279220522,19777402.0,10582,2.5714285714285712,10231624.0,78.0,5524,60.000000443999674,2059871.0,82.0,1061,75.620261577019448
1283,0.061485526002168098,0.020789757456554377,0.026245569684565491,0.057692813428343405,0.53722044529401025,0.0014512931856198259,8893824.0,78.0,3392,67.283634326325114,Average,4685514.0,78.0,1787,60.000000008366335,34101732.0,13006,2.0,19602072.0,78.0,7476,60.000000208172814,954408.0,78.0,364,68.055661703829173
1334,0.038950767324908556,0.091541947584362085,0.032970231047309791,0.033601683469629932,0.32726819731488921,-0.020726346216091891,629804.0,90.0,332,64.962026204845046,Good,722757.0,90.0,381,60.000000210604306,3355793.0,1769,4,1475866.0,90.0,778,60.000000000398749,534954.0,90.0,282,73.702151435349066
1642,0.050039239396307438,0.043843572364506908,0.033519455358888305,0.045798566673886779,0.47119619993375073,-0.0015037476862745935,9924761.0,72.0,4697,66.125286227067321,Bad,8574554.0,75.0,4058,60.000000041564753,43305935.0,20495,0.5714285714285714,16301795.0,71.0,7715,60.000001053167985,8540746.0,82.0,4042,67.330864223325392
1953,0.049613484164774603,0.014476553010740788,0.036433938497992119,0.045675986698657522,0.48913151755935069,0.0094174402251877305,7627392.0,78.0,3456,70.549451366367052,Average,6437819.0,78.0,2917,60.000002994719772,37962607.0,17201,2.5714285714285712,18227613.0,78.0,8259,60.000001882232858,5705095.0,82.0,2585,74.027295847503055
2129,0.064347626367722593,0.0075442360085736463,0.019074480980605039,0.050230880457754708,1.032041508627823,-0.0082254026492309916,12036224.0,75.0,4921,70.556110678777571,Bad,9103455.0,75.0,3721,61.861847362653513,57532408.0,23522,0,27683988.0,75.0,11322,60.000000011354118,8760096.0,75.0,3579,60.00816063828379
2156,0.023165130843750447,0.0058348981233870643,0.014929219108679875,0.024838461444494482,0.26295156107934675,0.0021011792895916236,5717124.0,77.0,1764,66.708659815261527,Bad,982023.0,77.0,303,60,16785139.0,5179,0,6919535.0,76.0,2135,60.000000004817586,3176180.0,77.0,980,60.446672462525122
2242,0.053507453827004066,0.025393115443390044,0.026440923382425926,0.042925361713185971,0.5120817556609687,9.1898210815461489e-05,11016270.0,73.0,5969,65.627413320178974,Bad,4699420.0,73.0,2517,65.944192270973133,48418020.0,26214,0,20256540.0,73.0,10998,60.000000012997042,12480870.0,76.0,6749,60.000272092052789
2470,0.040332021703100358,0.017966263617946742,0.01195285712555311,0.023253535897327909,0.34397600788073956,-0.0068441554728771977,1225026.0,76.0,807,70.292549173877049,Bad,4039398.0,80.0,2661,60.01133097418024,16095354.0,10603,1.2857142857142856,8772522.0,72.0,5779,60.000000000000533,2087250.0,80.0,1375,67.623688481402951
2557,0.048640317097641168,0.071732430974982678,0.030673043170264348,0.03842246792961073,0.37594771329725962,0.0096527348566223456,4040712.0,78.0,1439,66.102708104396172,Average,3583008.0,78.0,1276,66.704775608277004,19992960.0,7120,2.0,8696376.0,78.0,3097,60.000005632110806,3689712.0,78.0,1314,76.458871468506018
2814,0.052672168701305151,0.015413714272715416,0.020064453281690244,0.047741703814012902,0.2794963648996785,-0.0032287402343138785,9054752.0,77.0,3532,68.759860554861163,Bad,3809855.0,77.0,1484,60.000000000005585,31844577.0,12417,0,13978153.0,77.0,5453,60.000000002178822,5019775.0,77.0,1955,68.484670835673711
2829,0.024721401199699299,0.0063124542338834069,0.017594147836857584,0.029736682846996317,0.11416696680414155,0.0094388913631762612,5073627.0,77.0,2171,68.042692749200739,Bad,1306383.0,78.0,559,60.01491710469417,16295901.0,6973,1.8571428571428572,7581228.0,78.0,3244,60.000000749100039,2337000.0,84.0,1000,73.389730888227604
2953,0.019216256706861834,0.018977316891154585,0.011511403231716816,0.02078775276527204,0.17501051185368804,-0.0008828317021943691,4114320.0,79.0,2604,66.658838498857136,Good,380780.0,79.0,241,70.621038804458763,11838940.0,7493,3.1428571428571428,4278640.0,82.0,2708,60.000001350480055,3066780.0,79.0,1941,67.042435490932903
2995,0.055314062671242316,0.044122622010066094,0.019293482786515211,0.046585139093339785,0.81503144896609958,0.014137578029086845,11776160.0,80.0,5224,68.758673008646838,Bad,14905688.0,75.0,6621,60.000000011921593,63946240.0,28388,1.2857142857142856,24921120.0,73.0,11079,60,12388320.0,80.0,5484,61.661569880292802
3367,0.059636390996062751,0.030901772593290411,0.037734447053453024,0.068325015854983406,0.85730361811366185,-0.0040530167767846579,14797099.0,78.0,5101,69.002627598769962,Average,8251188.0,78.0,2843,60.000008218370105,53481907.0,18433,2.2857142857142856,24245761.0,76.0,8359,60.000000000204018,6216880.0,80.0,2140,71.477098564793607
3649,0.087315020104705474,0.033319546961117365,0.045452179118238664,0.074092787537909849,0.76198024071106729,0.014593960137015813,22067580.0,80.0,7090,63.995553272789721,Average,8056094.0,80.0,2573,60.000000000000327,68601120.0,22000,2.7142857142857144,32972952.0,77.0,10596,60.000000183857829,5557476.0,83.0,1758,66.580322398048963
3652,0.092828473108957504,0.044884897723918168,0.038185860798724734,0.067755757128260818,0.6503691120471794,0.0042854933668363612,6701597.0,73.0,1883,70.152860842642639,Bad,8107402.0,73.0,2278,60.000000000451266,39832328.0,11192,0,21176050.0,70.0,5950,60.000002044954442,3897105.0,75.0,1095,71.039572843277085
3736,0.048229459274864071,0.016095494921005069,0.02262480718835521,0.046419814647963596,0.22187228152134619,-0.0089019825003252215,9246193.0,77.0,3517,66.192763005005673,Bad,2376616.0,77.0,904,60.00000000021317,27338971.0,10399,0,10466049.0,75.0,3981,60.000000012261488,5268516.0,77.0,2004,61.476893031620385
3967,0.021024019277812847,0.01540714870307917,0.012947495831542628,0.020353736812248904,0.23024968975210972,-0.0038694141914371824,3222450.0,78.0,1350,60,Average,1749671.0,78.0,733,60.000000000602661,10832206.0,4538,2.0,3136518.0,77.0,1314,60.348978563722916,2730728.0,78.0,1144,70.334160745837593
4767,0.054682433577972644,0.013442510902908402,0.051804697102039506,0.050858914104675607,0.55561867828640699,0.023906453993076261,12269492.0,77.0,4468,65.5502583944386,Bad,5058291.0,77.0,1840,60.001260292661229,44774584.0,16301,1,20225324.0,77.0,7366,60.00000004245458,7246204.0,85.0,2636,78.701392927468504
4874,0.02511695094245198,0.020760832207742289,0.049902299479286892,0.016218277114996578,0.74350634559960083,-0.0094088765804243614,6971387.0,75.0,2819,60.000148854796841,Bad,5232868.0,75.0,2116,76.681478780104939,30820999.0,12463,0,11254623.0,75.0,4551,60.000001860246442,7386851.0,75.0,2987,81.958725272277889
