dataid,a1,a2,a3,a4,a5,a6,evening_energy,evening_gt,evening_mins,evening_pred,hvac_class,morning_energy,morning_gt,morning_mins,morning_pred,overall_energy,overall_mins,rating,sleep_energy,sleep_gt,sleep_mins,sleep_pred,work_energy,work_gt,work_mins,work_pred
26,0.045276991123328683,0.010728065972689297,0.012215567427623362,0.026119005855691203,0.514499166876217,0.013547569053493847,8000525.0,78.0,5559,60,Average,4697094.0,78.0,4824,71.561079410216678,33606271.0,26217,2.5714285714285712,15262917.0,76.0,9253,60.000000000630465,5673780.0,82.0,6598,67.899591401560002
94,0.015650154549259609,0.009532154045414163,0.0051190129749766828,0.012739114090006113,0.25240721154627421,-0.0067541494164663277,1146801.0,77.0,677,66.885489116797004,Bad,2504594.0,77.0,1050,60.000000614032267,10245082.0,6142,1,4809492.0,78.0,3544,60.000000053299431,1793893.0,85.0,877,67.199726883389829
370,0.0715483335216065,0.030763701344977908,0.029346098841782391,0.0400341547303152,0.12202780879256067,0.0014245423739350938,9781336.0,75.0,5998,61.944032989557215,Bad,5929194.0,75.0,4517,60.000000000041247,41099988.0,27854,0,16245406.0,75.0,10149,60.000000074123584,9176792.0,75.0,7210,64.24491391390427
410,0.057520708824055376,0.035999065085848214,0.016274383219585693,0.040345685218023453,0.66348121882365274,-0.010450298767112181,5840701.0,80.0,2737,68.559422602121614,Average,7870740.0,80.0,3123,60.000013348419863,33751031.0,16225,2.8571428571428572,16421968.0,76.0,7617,60.000000000000284,3665827.0,84.0,2770,72.881433253831815
545,0.047287260979945803,0.046947037199820928,0.033462988875629887,0.065288489945351288,0.79800185049479899,-0.016861923620980903,16562463.0,76.0,7849,65.492267715546618,Bad,10026480.0,76.0,4364,60.000017019844123,60097830.0,29520,0,20727486.0,72.0,9602,60.000000000000064,12813207.0,76.0,7722,65.376747808832903
624,0.021517277042861927,0.014143157009327856,0.019852433908205999,0.026341862452092472,0.42367824317208108,-0.00026108284997015572,4629646.0,80.0,3776,69.250753070918989,Good,3011445.0,85.0,2610,61.875380555161669,19209756.0,16386,3,7681294.0,78.0,6355,60.000002151767667,3903180.0,85.0,3655,76.023696858434874
871,0.041239134833744313,0.012552686230938014,0.014203687540512967,0.040558468902388088,0.3876037440745817,0.0022162716039696149,5352454.0,78.0,2649,68.546749842876253,Average,3376751.0,78.0,1691,60,24216024.0,12109,2.5714285714285712,12003705.0,78.0,6090,60.000000001744354,3504768.0,82.0,1690,64.077935831959877
1283,0.049562838262508326,0.01831694851614878,0.021350133998248526,0.044562321963554287,0.58023391864176632,0.0035907229854108395,7925297.0,78.0,5175,66.717493439541698,Average,6877226.0,78.0,4413,60.000003737183874,36350955.0,23284,2.0,17675902.0,78.0,9161,60.000000655147502,3907222.0,78.0,4551,72.56332746424458
1334,0.02927140533387692,0.053986904845791564,0.047997242030774656,0.031359700421283603,0.41782361402590434,-0.026694916223139218,1183016.0,90.0,1359,61.662095137502043,Good,1030368.0,90.0,1065,65.519712854329086,6024508.0,7174,4,2923627.0,90.0,3655,60,898624.0,90.0,1108,82.345376643225435
1642,0.05137055506497111,0.044385300747965074,0.031112279908059839,0.047897360287463317,0.5512287433943367,0.0030209527725473442,10052103.0,72.0,5009,67.615544550231135,Bad,8952161.0,75.0,4449,60.000001808995108,43649616.0,22586,0.5714285714285714,17729496.0,71.0,8167,60.00000000008766,6953221.0,82.0,4979,69.515231491605761
1953,0.052156750895978495,0.011614106882067972,0.038440349802637795,0.052167052564361292,0.57429691519226689,0.010940578099834451,8552063.0,78.0,3701,71.312527854664708,Average,6806712.0,78.0,3077,60.000061391850146,41584940.0,18929,2.5714285714285712,19843652.0,78.0,8701,60.000001486082454,6420480.0,82.0,3467,74.85697235537242
