dataid,a1,a2,a3,a4,a5,a6,evening_energy,evening_gt,evening_mins,evening_pred,hvac_class,morning_energy,morning_gt,morning_mins,morning_pred,overall_energy,overall_mins,rating,sleep_energy,sleep_gt,sleep_mins,sleep_pred,work_energy,work_gt,work_mins,work_pred
26,0.034483281914897766,-0.0030715055586387975,0.012113267903394658,0.020065936289871723,0.34942312380788554,0.01024332147374602,4283728.0,78.0,2980,61.575439772314894,Average,2236774.0,78.0,1564,68.961489377023327,20567640.0,14130,2.5714285714285712,10576896.0,76.0,7055,60.000000079098236,3487790.0,82.0,2541,60.028657992448338
94,0.016092605387382396,0.0043160293159560824,0.0049905396655017947,0.0099444731816944795,0.24055904542259204,-0.0091493218273014758,980786.0,77.0,432,61.806794747999774,Bad,1161579.0,77.0,558,60.000000242802102,6608710.0,3109,1,3828756.0,78.0,1826,60.000000000000078,647613.0,85.0,297,68.355758519520535
370,0.071023498422920425,0.022415648519831327,0.046953425938632158,0.040173918330487002,0.46455195246583936,-0.0015502139052071802,10023460.0,75.0,4838,67.720722405798256,Bad,6289002.0,75.0,3651,60,46009770.0,23352,0,19253570.0,75.0,9156,60.000000029923932,10481170.0,75.0,5726,74.648661297166484
410,0.060307480500885864,0.039593999339226374,0.017335780198103015,0.041069602418495339,0.64452658532566276,-0.014447570362164361,5776604.0,80.0,2580,67.174109469714267,Average,7917345.0,80.0,3140,60.000001222151383,33533509.0,15497,2.8571428571428572,16289545.0,76.0,7260,60.000007209330121,3598782.0,84.0,2539,71.153225983342253
545,0.054255451192029555,0.048620124764011161,0.035008005375687039,0.070074327960949645,0.73892850088790407,-0.013454638760328059,17634674.0,76.0,6958,65.339512227525091,Bad,10117874.0,76.0,4029,60.000000002790046,62360174.0,25123,0,21817339.0,72.0,8678,60,12820580.0,76.0,5470,65.117204785607854
624,0.022952548200121197,0.019426402835160419,0.022687457403450087,0.029001280853206635,0.39387674268822326,-0.0017691210946719081,5383572.0,80.0,3680,71.212903081023612,Good,3570656.0,85.0,2432,64.509184643254585,23330241.0,15953,3,9414231.0,78.0,6435,60.000000038411557,4976536.0,85.0,3416,75.853102515063512
871,0.039962851238960088,0.013834995863457444,0.014374264769778145,0.038283779737685771,0.36299886958777428,0.00258009842738126,5170351.0,78.0,2827,68.012378156235044,Average,3244601.0,78.0,1757,60,23361205.0,12810,2.5714285714285712,11678188.0,78.0,6439,60.000000140528989,3288084.0,82.0,1798,66.649635889597377
1283,0.046615960100037185,0.014071233190999524,0.018606225955686954,0.042421199994000867,0.63716661851945877,0.0075950436750626864,9605322.0,78.0,6286,64.427522047563585,Average,6603962.0,78.0,5026,60.000005508932347,40944317.0,27469,2.0,18162397.0,78.0,9449,60.000000002118519,6605525.0,78.0,6725,67.536376533689662
1334,0.038342673514012639,0.088688191399532185,0.032875861374650366,0.032940745049487852,0.4615022338466151,-0.012633703923002317,2136862.0,90.0,364,64.810384616334829,Good,2177045.0,90.0,395,60.00000002850696,10820714.0,2018,4,3911423.0,90.0,971,60.00000015272677,2610089.0,90.0,293,72.353520993815607
1642,0.047566953759384842,0.037802841421366251,0.032416688554848562,0.044117117609440634,0.94425304856648362,0.0055723483180600093,13470666.0,72.0,9300,65.532787903211485,Bad,12898650.0,75.0,9331,60.000000006403724,61819758.0,44640,0.5714285714285714,21441474.0,71.0,13020,60.000004984144503,14055294.0,82.0,13020,65.540746112652599
1953,0.052292284841517128,0.012899262655009732,0.029080650677980786,0.050124369259701422,0.59621877091680575,0.0045885382009637019,8392221.0,78.0,3873,70.735478860797855,Average,6969683.0,78.0,3157,60,42033274.0,19994,2.5714285714285712,19893849.0,78.0,8961,60.000000355195176,6816342.0,82.0,4020,69.563849749472382
