dataid,a1,a2,a3,a4,a5,a6,evening_energy,evening_gt,evening_mins,evening_pred,hvac_class,morning_energy,morning_gt,morning_mins,morning_pred,overall_energy,overall_mins,rating,sleep_energy,sleep_gt,sleep_mins,sleep_pred,work_energy,work_gt,work_mins,work_pred
26,0.035139984372671615,0.00095319533909040864,0.0097572120416873874,0.017593393892643593,0.32637166501403658,0.013527553198088522,4933372.0,78.0,4356,60,Average,3194463.0,78.0,2909,60.34549316872544,23192684.0,20165,2.5714285714285712,10538831.0,76.0,8637,60.000000008276999,4545097.0,82.0,4275,60.060850240196899
94,0.014755822274552723,0.0088161123778343359,0.0072784136738033803,0.012512608327656452,0.17279604472813831,-0.0047318429586577703,895548.0,77.0,862,68.909937179234504,Bad,1107200.0,77.0,1064,60.000000118114627,6659444.0,6435,1,3824534.0,78.0,3708,60.000000000001037,837507.0,85.0,806,79.065875630132041
370,0.067304302683622599,0.021055299226561387,0.042574813212914016,0.038161352251580648,0.27335924288770247,0.006627565434323697,10073643.0,75.0,4990,63.859737842477251,Bad,4721992.0,75.0,2626,60,40097374.0,20492,0,16656760.0,75.0,8231,60.000000242440478,8678653.0,75.0,4661,75.123157833809017
410,0.056604397100049518,0.037225594304927431,0.016349252961314644,0.037738221382842219,0.65949712369138569,-0.015476623836081759,5456835.0,80.0,2489,66.913908787026685,Average,7789744.0,80.0,3105,60.000000268251014,31984108.0,15240,2.8571428571428572,15270119.0,76.0,7034,60.000002321738272,3516042.0,84.0,2635,71.396476553753615
545,0.032505211350573625,0.037329894607209577,0.023245387341966066,0.032850932754241738,0.82606501953770506,-0.015522142797315414,9767100.0,76.0,4207,62.787147610775712,Bad,8161655.0,76.0,3353,60.000000061919323,40943280.0,17494,0,12773422.0,72.0,5383,60,10264500.0,76.0,4561,64.626774025163911
624,0.030423667023258796,0.023826074129651334,0.031991563444106731,0.039630864342749539,0.4709309571018655,0.0029053416667968505,6597096.0,80.0,4086,73.694696337898066,Good,4131677.0,85.0,2757,64.84691653277244,27547304.0,17674,3,11318971.0,78.0,6871,60.000000059142806,5516400.0,85.0,3970,79.478055764353243
871,0.03742527866757249,0.016543251876067262,0.014935664781101891,0.035888986191454669,0.30129012193103938,0.0061050021143964489,4636732.0,78.0,2576,68.048468533762247,Average,2997301.0,78.0,1662,60.000000088275691,20128785.0,11401,2.5714285714285712,10428279.0,78.0,5941,60.000006450867268,2082766.0,82.0,1232,77.468197005299672
1283,0.046922383527708597,0.022181245339203699,0.022176893337278382,0.04129200354729598,0.65067160568249127,2.0288488584552244e-05,8265430.0,78.0,6763,65.370850221408418,Average,7690000.0,78.0,6408,60.000000000000412,38682685.0,31624,2.0,16870616.0,78.0,10701,60.000000077565844,5894190.0,78.0,7774,69.706782732869542
1334,0.039346968206970916,0.091041053712522219,0.03398918487946425,0.034724433234120805,0.33738524970824374,-0.021577143120374915,666890.0,90.0,332,64.97189108316384,Good,742418.0,90.0,381,60.000000847735535,3498355.0,1769,4,1525054.0,90.0,778,60.000000007101136,571731.0,90.0,282,73.736844153262396
1642,0.047526599621200746,0.037166525109945614,0.030441333149842938,0.043407235100699382,0.86479556359694865,0.0071294689918091833,12722516.0,72.0,9300,66.414808631050931,Bad,12104635.0,75.0,9331,60.000000000013117,58016108.0,44640,0.5714285714285714,20728352.0,71.0,13020,60.00000068812539,12504700.0,82.0,13020,66.590863297943727
1953,0.052161237369621437,0.013099571071086915,0.029799202314918945,0.05009888645286277,0.59441425835514539,0.0046354208286470541,8350420.0,78.0,3873,70.78910181238264,Average,6961073.0,78.0,3157,60,41839993.0,19998,2.5714285714285712,19830372.0,78.0,8963,60.000000421430428,6736769.0,82.0,4022,70.377502903515492
2129,0.057119637018943632,0.024148610418826901,0.021087818502741155,0.05148885802446828,1.5724428104036827,-0.013860639970926396,16113450.0,75.0,8040,67.948582860525676,Bad,15206897.0,75.0,9221,60.825801579612467,77573432.0,41727,0,29605656.0,75.0,12911,60.00000001097311,16712706.0,75.0,11586,60.0493884346632
2156,0.024120407700361411,0.0014350184726490025,0.012532535310572589,0.02776715897898106,0.26094488974580476,0.013386691602649881,5755008.0,77.0,2763,72.669417348664069,Bad,1015458.0,77.0,489,60.001201229565829,18750990.0,8812,0,8214210.0,76.0,3798,60.000000010253693,3777156.0,77.0,1766,60.000721178023333
2242,0.047828387779136068,0.027215383758435612,0.027022407417578737,0.043832500071871637,0.73748434896256043,-0.00077289921690525934,12139523.0,73.0,5843,65.756955957934039,Bad,6956379.0,73.0,2584,64.892087611035763,54781921.0,26019,0,21314290.0,73.0,10910,60.000000001630468,14414741.0,76.0,6703,60.001063609472936
2470,0.04257066929699601,0.01690368653506661,0.010955090332181103,0.0209796152046667,0.35353243459686362,0.00016598029180718457,1474932.0,76.0,1097,73.78292584276538,Bad,4384490.0,80.0,2930,60.000000000000057,18388002.0,12691,1.2857142857142856,10039761.0,72.0,6713,60.000000166784027,2520480.0,80.0,1971,66.161223792320243
