dataid,a1,a2,a3,a4,a5,a6,evening_energy,evening_gt,evening_mins,evening_pred,hvac_class,morning_energy,morning_gt,morning_mins,morning_pred,overall_energy,overall_mins,rating,sleep_energy,sleep_gt,sleep_mins,sleep_pred,work_energy,work_gt,work_mins,work_pred
26,0.041343406202931782,0.0054130571665371059,0.0094480161310371829,0.019251472232239417,0.18532500795310666,0.024146580681840533,5540095.0,78.0,5135,60.000000000000618,Average,3270607.0,78.0,4479,60,23957984.0,25008,2.5714285714285712,10410155.0,76.0,8715,60.000000174718295,4762582.0,82.0,6694,60.005690931470873
94,0.0097131988370850048,0.0056107108077392094,0.0046327477641233631,0.0069474022028343007,0.17232061633854689,-0.0048714601812833176,883488.0,77.0,441,60.000000000044068,Bad,1424112.0,77.0,458,60.000089717652635,6458562.0,3092,1,3049980.0,78.0,1730,60.000000002899938,1105962.0,85.0,465,69.203876800449336
370,0.060450677456673901,0.022055595887428,0.023773715270979313,0.038783707650968981,0.17147907741783761,0.000480143505505456,7920018.0,75.0,5613,65.363103037376987,Bad,4346906.0,75.0,4221,61.824858845035919,33227046.0,26456,0,13996192.0,75.0,9892,60.000000079745895,6985854.0,75.0,6749,64.361665292796985
410,0.063258894359653275,0.039864409505484151,0.018914613662084044,0.042939313944719851,0.64994313384554325,-0.019719693479704307,5493722.0,80.0,2089,66.893124509161197,Average,7639588.0,80.0,2741,60.000000000000163,31636736.0,12137,2.8571428571428572,15499498.0,76.0,5876,60.00000449919397,3051600.0,84.0,1450,70.503110893031376
545,0.051841994569806343,0.046459811397662483,0.03285806521610378,0.067956371341922506,0.70117660731856468,-0.010838841648329276,16879587.0,76.0,6917,65.640208557445703,Bad,9495009.0,76.0,3989,60.000000134396387,58767009.0,25189,0,20838726.0,72.0,8756,60.000000000344514,11581470.0,76.0,5540,66.402503817544911
624,0.015416733799335239,0.021450573664334623,0.022304778649220307,0.023962754926803082,0.46406423630396815,-0.0067927740789578764,3372061.0,80.0,2090,70.433885026763065,Good,2585964.0,85.0,1700,69.039314914732984,14771873.0,9494,3,6000949.0,78.0,3772,60.000000345104013,2823593.0,85.0,1939,81.027985188184473
871,0.014480152328684671,0.0046354688656071574,0.0062645017822194841,0.011331599582443161,0.23175300147036665,-0.003504509664123601,1242421.0,78.0,497,60,Average,1366910.0,78.0,598,60,7206870.0,3138,2.5714285714285712,3143218.0,78.0,1448,60.000000015620799,1462455.0,82.0,599,60.080199889374683
1283,0.044758947338667567,-0.0052680360255105566,0.011249028188952449,0.04062120538082592,0.60299385364655012,0.010005512954035302,8686602.0,78.0,5227,65.498073706994717,Average,5125851.0,78.0,3178,89.999999983267415,35914377.0,21471,2.0,17516835.0,78.0,8635,60.000000000021679,4619919.0,78.0,4448,60.167652101086794
1334,0.023388246717069423,0.027944712395555273,0.04315665863685994,0.029506563625803801,0.36138167113103709,-0.02323680315167324,1032082.0,90.0,1122,62.537294648466975,Good,679710.0,90.0,814,63.914231699175964,4617562.0,5508,4,2185253.0,90.0,2723,60.00000075959143,730498.0,90.0,860,81.699932524337314
1642,0.049888477001201519,0.044496050548062424,0.03158272111225751,0.046103911141412962,0.55516663292055868,-0.0019296865538130155,9618547.0,72.0,4897,67.138021549858578,Bad,8694792.0,75.0,4360,60.000033434493311,41990739.0,21835,0.5714285714285714,16817425.0,71.0,7951,60.000000001163038,6894923.0,82.0,4644,69.199228031042466
