dataid,a1,a2,a3,a4,a5,a6,evening_energy,evening_gt,evening_mins,evening_pred,hvac_class,morning_energy,morning_gt,morning_mins,morning_pred,overall_energy,overall_mins,rating,sleep_energy,sleep_gt,sleep_mins,sleep_pred,work_energy,work_gt,work_mins,work_pred
26,0.044416848868207411,0.0028825690681459001,0.010657764502006109,0.022590382237835618,0.24395351607548121,0.020528310237737324,6184884.0,78.0,4672,60,Average,3035684.0,78.0,3172,60.000001950307592,25588349.0,20917,2.5714285714285712,12037999.0,76.0,8447,60.000000135466657,4356377.0,82.0,4641,60.007362813494787
94,0.0086089766311998918,0.0031147871789052204,0.0027616418436081486,0.006481092726041012,0.1195039363821102,-0.0010402700918069024,770895.0,77.0,395,63.144044184313437,Bad,1066707.0,77.0,393,60.000008174572947,5604876.0,2758,1,2829201.0,78.0,1547,60.000000000200629,942942.0,85.0,424,61.030826769852204
370,0.026813934875669139,0.015613420638070658,0.012781193168286362,0.021271618264866361,0.39523300357127833,-0.0023111244789581842,3716772.0,75.0,2955,69.51651118406015,Bad,4731644.0,75.0,3253,63.468790257642809,22542612.0,16770,0,8152756.0,75.0,5846,60.000000092599031,5962367.0,75.0,4729,63.081474514622421
410,0.060377010068127859,0.038429946714003918,0.017903953051926626,0.039901263521513748,0.66328909388894475,-0.021810124408668342,5180127.0,80.0,1956,65.624489794126873,Average,7538651.0,80.0,2689,60.000000000471125,30061144.0,11369,2.8571428571428572,14488621.0,76.0,5414,60.000000291201758,2900518.0,84.0,1328,69.834456850181198
545,0.030539604270857501,0.021647911781331911,0.018421025474973006,0.037192724234406435,0.43516341167748201,0.008127574239869529,8926921.0,76.0,3077,67.9743720754348,Bad,5194945.0,76.0,1785,60.000000000002231,32137559.0,10991,0,11477572.0,72.0,3996,60.000000515417234,6557196.0,76.0,2140,66.325010321888371
624,0.023224127641028339,0.015606273162064165,0.022790110102578937,0.03225788758575298,0.40837245984886017,-0.00079731892934210619,4425564.0,80.0,2824,73.696238656472289,Good,2604063.0,85.0,1636,64.13817446428618,17778750.0,11456,3,7841625.0,78.0,5006,60.00001094993312,2919246.0,85.0,1997,80.622631976478928
871,0.012419865059309703,0.0088067483250785332,0.007340640035668998,0.010001483492210824,0.15765964461486573,-0.0056917043405843,1123152.0,78.0,469,61.759832436488836,Average,1172607.0,78.0,495,60.000000431553865,6121270.0,2636,2.5714285714285712,2569845.0,78.0,1203,60.000000000000036,1261892.0,82.0,472,68.410588268977634
1283,0.042474814115486322,0.0088623729689448916,0.014331570278476804,0.037780944043029036,0.5725542879585378,0.0054353644184258806,7603287.0,78.0,5241,64.96724577141886,Average,5275997.0,78.0,3691,60.00000011235867,32634469.0,22247,2.0,15608270.0,78.0,8710,60.000000010818567,4179120.0,78.0,4620,68.47264159646511
1334,0.020650769427243407,0.01608348883109928,0.043206414800193396,0.02981371140320558,0.34683898328754792,-0.023379747292774183,909178.0,90.0,960,63.387633472703762,Good,483687.0,90.0,705,72.176983232435745,3745588.0,4480,4,1734241.0,90.0,2147,60.00000001458276,625486.0,90.0,676,82.143145472505452
1642,0.049386111143666853,0.04377909818919376,0.031440636836464565,0.04563663920111051,0.55075350214425978,-0.00026285435843294194,9619412.0,72.0,4915,67.167751567874603,Bad,8681618.0,75.0,4390,60.000004909411309,41970324.0,21948,0.5714285714285714,16799156.0,71.0,7987,60.000000001065175,6904942.0,82.0,4673,69.058481084524189
1953,0.049672724134271172,0.01359147372313254,0.04373131371827875,0.04764781689521478,0.51840124876592419,0.011155415835174227,7816458.0,78.0,3493,71.134535827467147,Average,6519503.0,78.0,2954,60.001589395588162,38738624.0,17428,2.5714285714285712,18750588.0,78.0,8302,60.00000000386823,5688176.0,82.0,2695,76.918121093944109
2129,0.05099565949092421,0.020982568596513203,0.02923149411021464,0.048089021891748053,1.3595658788060367,-0.006707995294960232,13581701.0,75.0,6741,70.707374573686181,Bad,11302268.0,75.0,7070,73.625578824435053,63445328.0,35627,0,27199722.0,75.0,12730,60.000000097747893,11419816.0,75.0,9117,75.375267620380058
2156,0.019707634691058469,-0.0016705589244663049,0.0095586192870108291,0.018404910124929317,0.13286595930773307,0.0073044649738994109,3898352.0,77.0,2224,65.60777625528435,Bad,578959.0,77.0,391,89.976574339492402,11713943.0,6799,0,5083509.0,76.0,2845,60.000000015427418,2158528.0,77.0,1344,65.493933346111845
2242,0.050320453516897845,0.024010465029210348,0.019923123608485058,0.041287807585677953,0.5240313441718194,0.0044525189523808711,8955740.0,73.0,4640,68.985423859616915,Bad,4032248.0,73.0,1972,70.234950195984098,42722549.0,22100,0,19592247.0,73.0,10293,60.000000715325541,10171262.0,76.0,5210,60.000282790104706
2378,0.064140152296714312,0.030959969686572813,0.042558998373284813,0.05697347816336084,0.40677764672398309,0.026237877774764887,11052660.0,78.0,4869,69.970467723599455,Average,7345740.0,78.0,3747,60.573480695380518,47596511.0,25169,2.0,18597528.0,76.0,7547,60.000000012752302,10625587.0,78.0,9017,77.008505959772293
