dataid,a1,a2,a3,a4,a5,a6,evening_energy,evening_gt,evening_mins,evening_pred,hvac_class,morning_energy,morning_gt,morning_mins,morning_pred,overall_energy,overall_mins,rating,sleep_energy,sleep_gt,sleep_mins,sleep_pred,work_energy,work_gt,work_mins,work_pred
26,0.035139984372671615,0.00095319533909040864,0.0097572120416873874,0.017593393892643593,0.32637166501403658,0.013527553198088522,4933372.0,78.0,4356,60,Average,3194463.0,78.0,2909,60.34549316872544,23192684.0,20165,2.5714285714285712,10538831.0,76.0,8637,60.000000008276999,4545097.0,82.0,4275,60.060850240196899
94,0.01776045307191601,0.0055057858327500799,0.0071483720520581703,0.012031016675397844,0.24493673795043869,-0.011828506225622513,1039535.0,77.0,999,64.94205101462245,Bad,1321196.0,77.0,1326,60.000000000590717,8026075.0,8064,1,4776861.0,78.0,4922,60.000000154768806,901197.0,85.0,831,71.955945075388428
370,0.07217103480173151,0.022777846276409181,0.04660986876428868,0.040809680632919031,0.41976270299317492,0.0020200097996500824,10461231.0,75.0,5102,66.627342868443762,Bad,6215356.0,75.0,3649,60,46438448.0,23821,0,19322149.0,75.0,9288,60.000000179637929,10477682.0,75.0,5801,74.582211631255518
410,0.058392536806006291,0.036513332223484178,0.016625197915176086,0.040780038505860775,0.65368353945525326,-0.012271509918315292,5801888.0,80.0,2630,67.47592867777351,Average,7867667.0,80.0,3132,60.000000144664327,33570933.0,15833,2.8571428571428572,16344698.0,76.0,7412,60.000000000001599,3605344.0,84.0,2682,71.828508654925372
545,0.056425548537803238,0.050380183625227358,0.036282811315580657,0.073474674555116345,0.7443645741823125,-0.012413179148098938,18370394.0,76.0,6954,65.403020654592396,Bad,10112063.0,76.0,4018,60.000002922931827,63990182.0,25085,0,22523977.0,72.0,8667,60.000000000913936,13013059.0,76.0,5458,65.47648583537547
624,0.029863440894657454,0.020298625312247486,0.030417221751305963,0.039448551111021211,0.46981233401536421,0.0035919971315511814,6656770.0,80.0,4130,73.816329568346731,Good,4062970.0,85.0,2770,62.997039888149736,27373727.0,17737,3,11276678.0,78.0,6858,60.000000157398524,5394149.0,85.0,3989,79.020838665548268
871,0.036899596408553635,0.014658255533621706,0.013930546702672818,0.036419258803994242,0.29796770249804461,0.0067071797740053136,4767932.0,78.0,2670,67.635378461120467,Average,2998617.0,78.0,1672,60.000000000000085,20422374.0,11648,2.5714285714285712,10559709.0,78.0,6063,60.000001228864093,2112409.0,82.0,1253,76.328842133898263
1283,0.046936342148678228,0.022233199284496363,0.022176612118156129,0.041315699333328619,0.64861699848585952,0.00014996952817253453,8258770.0,78.0,6763,65.411484241293536,Average,7687780.0,78.0,6408,60,38667145.0,31624,2.0,16863956.0,78.0,10701,60.000000978561928,5894190.0,78.0,7774,69.71162309939433
1334,0.039059436261071667,0.092458418455593452,0.031518191081912561,0.033981863487233102,0.34533248587401577,-0.01775859011824393,727998.0,90.0,364,66.002855674813134,Good,768810.0,90.0,395,60.000000041385611,3973219.0,2020,4,1894208.0,90.0,973,60.000003785017213,591832.0,90.0,293,72.827854498513773
1642,0.04750372804102352,0.037128332787887533,0.030376147843454972,0.043366607000726226,0.86153885012300291,0.0071796100156204115,12693428.0,72.0,9300,66.443269364863497,Bad,12072616.0,75.0,9331,60.000000000000007,57875093.0,44640,0.5714285714285714,20699042.0,71.0,13020,60.000000630319974,12454000.0,82.0,13020,66.60978523162926
