home,total,baseline,defrost,usage,usage_cycles,non_usage_cycles,defrost_cycles,baseline_duty_percent,total_mins,artifical_sum,baseline_percentage,defrost_percentage,usage_percentage
1,38.9510761058,30.27616165,0.0,8.61114576447,342.0,480.0,0.0,0.445544554455,44339.0,38.8873074144,77.7286911605,0.0,22.107594001
2,37.1518532125,28.1582944244,0.0,8.90696323678,688.0,910.0,0.0,0.396551724138,108837.0,37.0652576612,75.7924356111,0.0,23.9744789737
8,46.2004797087,34.9310951938,0.0,11.1801758817,1184.0,2363.0,0.0,0.380952380952,108837.0,46.1112710754,75.6076460981,0.0,24.1992636271
11,55.8524250229,46.4062541972,0.0,9.42810768823,705.0,2342.0,0.0,0.529411764706,86098.0,55.8343618855,83.0872682399,0.0,16.8803909309
13,45.4907292629,38.9904398716,0.0,6.28870460399,59.0,219.0,0.0,0.505084745763,40018.0,45.2791444756,85.7107382172,0.0,13.8241455037
14,47.4569736155,33.4229683097,0.0,14.0269295679,702.0,994.0,0.0,0.37037037037,65938.0,47.4498978777,70.4279387484,0.0,29.5571514559
15,43.8455278815,32.5717909661,0.0,11.0818622375,395.0,627.0,0.0,0.414634146341,65878.0,43.6536532037,74.2876013585,0.0,25.2747834796
18,44.9006599757,29.3204910534,0.0,15.5735006017,1101.0,746.0,0.0,0.32,108837.0,44.8939916552,65.3008019689,0.0,34.6843467561
22,48.2873729569,39.241015542,0.0,9.02829738017,658.0,1517.0,0.0,0.5,108837.0,48.2693129221,81.2655838142,0.0,18.6970150317
25,48.2447830288,35.8965927605,0.0,12.2455854554,473.0,733.0,0.0,0.410256410256,108837.0,48.1421782159,74.4051284034,0.0,25.3821961393
29,38.79604407,,0.0,,0.0,0.0,0.0,,108837.0,,,0.0,
33,39.5687555575,25.0117106999,0.0,14.5299481901,812.0,909.0,0.0,0.311111111111,108837.0,39.54165889,63.2107589624,0.0,36.7207610787
34,41.8418060872,32.1321161645,0.0,9.67912678691,804.0,1354.0,0.0,0.375,108837.0,41.8112429514,76.7942858335,0.0,23.1326696719
35,52.9710742811,45.3863139362,0.0,7.497456946,710.0,2432.0,0.0,0.444444444444,108837.0,52.8837708822,85.6813167417,0.0,14.1538699144
37,39.4809338986,35.7582072972,0.0,3.71202251998,382.0,3126.0,0.0,0.428571428571,86098.0,39.4702298171,90.5708243605,0.0,9.40206361256
42,47.5644936561,44.8900837537,0.0,2.67057761028,89.0,696.0,0.0,0.63829787234,44339.0,47.560661364,94.3772976503,0.0,5.61464530579
43,32.2060269626,19.8118869322,0.0,12.3839102117,671.0,748.0,0.0,0.264705882353,65878.0,32.1957971438,61.5160850332,0.0,38.4521512885
44,45.2328058459,37.7860912027,0.0,7.41755397167,445.0,537.0,0.0,0.5,108837.0,45.2036451743,83.5369163952,0.0,16.3986156352
45,41.0126189524,34.5668527939,0.0,6.41566610065,558.0,2138.0,0.0,0.40625,108837.0,40.9825188945,84.2834563526,0.0,15.6431514605
46,51.5375375214,40.2280416472,0.0,11.1986151992,656.0,1212.0,0.0,0.43137254902,108837.0,51.4266568464,78.0558086045,0.0,21.72904593
47,47.1283755651,31.0148260399,0.0,16.0986425584,383.0,459.0,0.0,0.354838709677,44339.0,47.1134685983,65.8092405436,0.0,34.1591289013
50,66.2419781363,59.0383466169,0.0,7.00733283378,290.0,1219.0,0.0,0.631578947368,108837.0,66.0456794507,89.1252771701,0.0,10.5783870454
51,38.1936577872,25.4341743872,0.0,12.4954719406,121.0,148.0,0.0,0.338028169014,23039.0,37.9296463279,66.5926644913,0.0,32.716091269
52,48.9393446929,43.2844043356,0.0,5.62993302734,241.0,767.0,0.0,0.555555555556,44339.0,48.914337363,88.4450018839,0.0,11.5038994957
54,28.6387828242,15.6755938285,0.0,12.9548469796,1244.0,948.0,0.0,0.263157894737,108837.0,28.6304408081,54.7355448896,0.0,45.2353267215
55,34.9428463446,17.4211879987,0.0,17.4395215724,1264.0,815.0,0.0,0.209302325581,108837.0,34.8607095711,49.8562361717,0.0,49.9087034881
57,43.2662069831,34.2100230569,0.0,9.03595404106,550.0,1252.0,0.0,0.4,108837.0,43.245977098,79.06868996,0.0,20.8845532602
58,108.086000382,,0.0,,0.0,0.0,0.0,,108837.0,,,0.0,
59,37.2905185563,28.4575267722,0.0,8.68994043186,345.0,672.0,0.0,0.366812227074,108837.0,37.147467204,76.31303579,0.0,23.3033510079
60,80.2386043116,,0.0,,0.0,0.0,0.0,,108837.0,,,0.0,
61,37.225065815,27.6919482063,0.0,9.35992650605,344.0,712.0,0.0,0.359550561798,108837.0,37.0518747123,74.3905956914,0.0,25.1441503222
67,47.8016917074,42.028920964,0.0,5.71213502266,151.0,718.0,0.0,0.527027027027,65878.0,47.7410559867,87.9235011625,0.0,11.9496503547
68,56.6811206552,34.4141783528,0.0,22.2615594799,197.0,257.0,0.0,0.333333333333,22739.0,56.6757378327,60.715416271,0.0,39.2750870529
72,38.4652115284,28.7079480826,0.0,9.73431192936,641.0,763.0,0.0,0.3125,65878.0,38.4422600119,74.6335375313,0.0,25.3067942241
75,48.064996375,35.8518031434,0.0,12.1844824071,701.0,945.0,0.0,0.363636363636,108837.0,48.0362855505,74.5902545455,0.0,25.3500121212
76,72.7775847584,,0.0,,0.0,0.0,0.0,,86098.0,,,0.0,
78,42.2188043514,30.7059613062,0.0,11.4415290617,370.0,807.0,0.0,0.346666666667,108837.0,42.1474903679,72.7305327045,0.0,27.1005520822
79,45.6605832304,36.5415062559,0.0,8.71267387771,95.0,192.0,0.0,0.350649350649,22739.0,45.2541801336,80.0285578296,0.0,19.0813898144
83,27.6045646794,22.2319703303,0.0,5.36422587142,975.0,2994.0,0.0,0.291666666667,108837.0,27.5961962017,80.5372973221,0.0,19.4323871205
84,51.7337965146,35.2430016753,0.0,16.4897496065,1022.0,870.0,0.0,0.353982300885,108837.0,51.7327512818,68.1237489797,0.0,31.8742306142
87,63.5457207919,47.4361499336,0.0,16.0687604721,1018.0,1178.0,0.0,0.384615384615,108837.0,63.5049104057,74.6488502175,0.0,25.2869276984
88,42.8133962652,33.9666411527,0.0,8.56545518638,295.0,388.0,0.0,0.531914893617,108837.0,42.5320963391,79.3364790364,0.0,20.0064837961
89,35.0444323863,29.604098618,0.0,5.40805724467,578.0,2282.0,0.0,0.387096774194,108837.0,35.0121558626,84.4758970316,0.0,15.4320012522
92,53.5758020334,,0.0,,0.0,0.0,0.0,,22739.0,,,0.0,
93,51.843651803,41.3489942667,0.0,10.4513134529,1332.0,2083.0,0.0,0.444444444444,108837.0,51.8003077196,79.757102034,0.0,20.1592925835
95,47.322117418,36.4766332852,0.0,10.776795168,171.0,244.0,0.0,0.45390070922,44339.0,47.2534284533,77.0815746959,0.0,22.7732733784
97,46.6643272094,35.9985502036,0.0,10.5796478642,173.0,342.0,0.0,0.446428571429,44339.0,46.5781980679,77.1436177405,0.0,22.6718105605
99,32.7715406262,26.8701629579,0.0,5.7538013842,359.0,1058.0,0.0,0.305555555556,108837.0,32.6239643421,81.9923703447,0.0,17.5573112349
100,48.417934439,40.4081297741,0.0,8.00170741855,781.0,2535.0,0.0,0.47619047619,108837.0,48.4098371927,83.4569467745,0.0,16.5263295745
102,46.1936129263,32.5108235639,0.0,13.6393262018,1118.0,1600.0,0.0,0.392857142857,108837.0,46.1501497657,70.3794778204,0.0,29.5264330668
